kernel1 :  85	:107	:-34	:-33	:-16	:-1	:-54	:-32	:127	:

kernel2 :  54	:7	:-106	:87	:25	:-127	:83	:23	:-65	:

kernel3 :  102	:89	:2	:-127	:-8	:-79	:44	:22	:110	:

kernel4 :  -127	:-54	:-32	:-7	:-17	:51	:22	:48	:13	:

kernel5 :  20	:33	:61	:44	:90	:49	:-111	:-124	:-127	:

kernel6 :  92	:19	:-127	:11	:107	:40	:-117	:-31	:107	:

kernel7 :  50	:67	:15	:33	:38	:-63	:-93	:-103	:-127	:

kernel8 :  -127	:-16	:73	:-24	:44	:31	:102	:-6	:-57	:

kernel9 :  -127	:-53	:38	:-77	:-29	:79	:-70	:-18	:70	:

kernel10 :  -104	:-60	:-11	:127	:93	:-12	:-125	:-10	:-26	:

kernel11 :  32	:101	:82	:-26	:4	:1	:-115	:-127	:-67	:

kernel12 :  -120	:-55	:80	:-127	:25	:93	:-82	:30	:64	:

kernel13 :  -117	:-20	:59	:34	:-127	:-70	:40	:58	:-63	:

kernel14 :  -5	:3	:-9	:127	:79	:-36	:-117	:-56	:96	:

kernel15 :  22	:127	:-16	:92	:-101	:48	:-30	:84	:107	:

kernel16 :  -26	:57	:88	:-108	:2	:65	:-127	:-90	:-46	:

kernel17 :  22	:72	:-37	:-75	:67	:-37	:-65	:127	:-25	:

kernel18 :  64	:52	:-80	:83	:-17	:-127	:36	:-95	:-87	:

kernel19 :  -127	:-126	:-105	:32	:31	:-48	:65	:78	:19	:

kernel20 :  93	:-50	:-97	:-127	:-91	:27	:-19	:85	:68	:

kernel21 :  -25	:-89	:-127	:85	:40	:-90	:63	:77	:2	:

kernel22 :  -127	:-17	:21	:-101	:-62	:93	:-2	:-43	:16	:

kernel23 :  73	:106	:-108	:-75	:66	:-14	:-127	:51	:84	:

kernel24 :  58	:79	:66	:-47	:14	:95	:-109	:-127	:-12	:

kernel25 :  -64	:112	:-31	:-60	:127	:-116	:28	:94	:-81	:

kernel26 :  124	:90	:-127	:-62	:-73	:86	:-42	:81	:64	:

kernel27 :  -123	:-107	:-14	:-16	:-10	:40	:127	:112	:-50	:

kernel28 :  -31	:60	:-73	:-75	:-127	:-68	:-19	:50	:-62	:

kernel29 :  -5	:-17	:-113	:127	:97	:103	:-14	:-57	:88	:

kernel30 :  60	:47	:-18	:-127	:-61	:68	:-7	:45	:39	:

kernel31 :  25	:-37	:73	:-127	:46	:0	:55	:58	:-60	:

kernel32 :  11	:44	:26	:-11	:33	:73	:-127	:-86	:-107	:

